Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas
2000,1,[3],0.1,0.7568307079916987,1.0065016226905261,0.7597388519047408,1.006889522412927
2000,1,[3],0.01,0.7502563406948007,0.9377369368594671,0.7497860765670158,0.9470352828080458
2000,1,[3],0.001,0.7498381085961522,0.8255092526506087,0.7497854214158585,0.8338756099390174
4000,1,[3],0.1,0.7568307079916987,1.0252380245295056,0.7597388519047408,1.0280377647756933
4000,1,[3],0.01,0.7502563406948007,0.9628751572192974,0.7497860765670158,0.9650380821014809
4000,1,[3],0.001,0.7498381085961522,0.8609009288834334,0.7497854214158585,0.8772616688642277
6000,1,[3],0.1,0.7568307079916987,1.0355933051426056,0.7597388519047408,1.039768922987454
6000,1,[3],0.01,0.7502563406948007,0.9751959507775582,0.7497860765670158,0.9745038035028772
6000,1,[3],0.001,0.7498381085961522,0.8824464458960438,0.7497854214158585,0.8999553678610591
2000,2,[2-3],0.1,0.6122941583127742,0.7317637681539214,0.6257639346563193,0.7355037914239164
2000,2,[2-3],0.01,0.6123516505966028,0.747829424395707,0.6260908367145408,0.7467650005420732
2000,2,[2-3],0.001,0.6123588322192742,0.7497786174003293,0.6264547502349643,0.7496676817209612
2000,2,[2-3],0.0001,0.6945780427426935,0.7499778174348979,0.7068479973751796,0.7499666768499362
4000,2,[2-3],0.1,0.6122941583127742,0.7379068647014583,0.6257639346563193,0.7430020546398841
4000,2,[2-3],0.01,0.6123516505966028,0.747829424395707,0.6260908367145408,0.7467650005420732
4000,2,[2-3],0.001,0.6123588322192742,0.7497786174003293,0.6261228793589653,0.7496676817209612
4000,2,[2-3],0.0001,0.6665403943966851,0.7499778174348979,0.6829202114211417,0.7499666768499362
6000,2,[2-3],0.1,0.6122941583127742,0.741126553553221,0.6257639346563193,0.7455418082598342
6000,2,[2-3],0.01,0.6123516505966028,0.747829424395707,0.6260908367145408,0.7467650005420732
6000,2,[2-3],0.001,0.6123588322192742,0.7497786174003293,0.6261228793589653,0.7496676817209612
6000,2,[2-3],0.0001,0.6484458947925336,0.7499778174348979,0.6661681819707329,0.7499666768499362
2000,2,[1-3],0.1,0.6631062127436093,0.741592242464838,0.6578806468680188,0.7385250714035089
2000,2,[1-3],0.01,0.6630628327460185,0.7490615020215768,0.6578462100398561,0.747143245107281
2000,2,[1-3],0.001,0.6631804799232469,0.7499049921765764,0.6578431830697782,0.7497089432539394
2000,2,[1-3],0.0001,0.7213343731736969,0.7499904874239594,0.709090211107846,0.7499708394435378
4000,2,[1-3],0.1,0.6631062127436093,0.7434498801866097,0.6578806468680188,0.7425118153464786
4000,2,[1-3],0.01,0.6630628327460185,0.7490615020215768,0.6578462100398561,0.747143245107281
4000,2,[1-3],0.001,0.6630588359787021,0.7499049921765764,0.6578431830697782,0.7497089432539394
4000,2,[1-3],0.0001,0.7024486758721569,0.7499904874239594,0.6873802766280497,0.7499708394435378
6000,2,[1-3],0.1,0.6631062127436093,0.745078681257214,0.6578806468680188,0.7442279721223378
6000,2,[1-3],0.01,0.6630628327460185,0.7490615020215768,0.6578462100398561,0.747143245107281
6000,2,[1-3],0.001,0.6630588359787021,0.7499049921765764,0.6578431830697782,0.7497089432539394
6000,2,[1-3],0.0001,0.6891849755170478,0.7499904874239594,0.6746307356609201,0.7499708394435378
2000,3,[2-3-3],0.1,0.6646608231219774,0.7260976770460206,0.700325678488476,0.7183681881195648
2000,3,[2-3-3],0.01,0.6651339620023019,0.7469776166775276,0.7002519907698798,0.74524797011359
2000,3,[2-3-3],0.001,0.6651307433084709,0.7496897197877421,0.700253375274658,0.749502565082168
2000,3,[2-3-3],0.0001,0.6864770242977856,0.7499688894076489,0.7063232462663015,0.7499500257388826
4000,3,[2-3-3],0.1,0.6642518207556751,0.7260976770460206,0.700325678488476,0.7183681881195648
4000,3,[2-3-3],0.01,0.6651339620023019,0.7469776166775276,0.7002519907698798,0.74524797011359
4000,3,[2-3-3],0.001,0.6651307433084709,0.7496897197877421,0.700253375274658,0.749502565082168
4000,3,[2-3-3],0.0001,0.6713618087521184,0.7499688894076489,0.7003574832713694,0.7499500257388826
6000,3,[2-3-3],0.1,0.66414852281945,0.7260976770460206,0.700325678488476,0.7183681881195648
6000,3,[2-3-3],0.01,0.6651339620023019,0.7469776166775276,0.7002519907698798,0.74524797011359
6000,3,[2-3-3],0.001,0.6651307433084709,0.7496897197877421,0.700253375274658,0.749502565082168
6000,3,[2-3-3],0.0001,0.6668922658768955,0.7499688894076489,0.7002535905605508,0.7499500257388826
2000,4,[3-4-3-3],0.1,0.6268366829920019,0.7324485434652396,0.6511237883683626,0.7405276173381576
2000,4,[3-4-3-3],0.01,0.6270120155663297,0.747618525454665,0.6511941836299481,0.7452902608220854
2000,4,[3-4-3-3],0.001,0.6526287693953835,0.7497540267519404,0.6883398392311701,0.7495030347998991
4000,4,[3-4-3-3],0.1,0.6268366829920019,0.7394507992363608,0.6511237883683626,0.7453569226811475
4000,4,[3-4-3-3],0.01,0.6270120155663297,0.747618525454665,0.6511941836299481,0.7452902608220854
4000,4,[3-4-3-3],0.001,0.6438333511391666,0.7497540267519404,0.6805384558832582,0.7495030347998991
6000,4,[3-4-3-3],0.1,0.6268366829920019,0.7424819135407836,0.6511237883683626,0.7470204213161558
6000,4,[3-4-3-3],0.01,0.6270120155663297,0.747618525454665,0.6511941836299481,0.7452902608220854
6000,4,[3-4-3-3],0.001,0.6370634900106634,0.7497540267519404,0.6725245786952828,0.7495030347998991
2000,2,[5-3],0.1,0.6048370872933498,0.7556778255173163,0.6399100141079315,0.7703163297722496
2000,2,[5-3],0.01,0.6051795870082309,0.7454629118518226,0.6394847175541724,0.7422472889130803
2000,2,[5-3],0.001,0.6055132527058854,0.7495285341273319,0.6407265440980991,0.7491727911540446
4000,2,[5-3],0.1,0.6048370872933498,0.7556778255173163,0.6399100141079315,0.7703163297722496
4000,2,[5-3],0.01,0.6051795870082309,0.7470694635327181,0.6394847175541724,0.756824851324151
4000,2,[5-3],0.001,0.6052152246684986,0.7495285341273319,0.6394458853797754,0.7491727911540446
6000,2,[5-3],0.1,0.6048370872933498,0.7556778255173163,0.6399100141079315,0.7703163297722496
6000,2,[5-3],0.01,0.6051795870082309,0.7538920625150989,0.6394847175541724,0.7652011975333336
6000,2,[5-3],0.001,0.6052152246684986,0.7495285341273319,0.6394458853797754,0.7491727911540446
250,2,[20-3],0.1,0.6042032696530292,0.7224482346497131,0.6334173301031838,0.7306115904422643
250,2,[20-3],0.01,0.6365110466004612,0.7308942820576995,0.6766187319599007,0.7246075226114871
250,2,[20-3],0.001,0.6516465337710162,0.7477862805349311,0.6922023748174976,0.746759708746385
500,2,[20-3],0.1,0.6042032696530292,0.7466055520615467,0.6334173301031838,0.7532745579450545
500,2,[20-3],0.01,0.6047333596002515,0.7308942820576995,0.6345419514932792,0.7246075226114871
500,2,[20-3],0.001,0.6505132702900056,0.7477862805349311,0.6920034508797499,0.746759708746385
1000,2,[20-3],0.1,0.6042032696530292,0.7658925359904534,0.6334173301031838,0.7710805236424851
1000,2,[20-3],0.01,0.6047333596002515,0.7308942820576995,0.633725281371646,0.7246075226114871
1000,2,[20-3],0.001,0.6482067658062569,0.7477862805349311,0.6895089684748545,0.746759708746385
250,3,[10-10-3],0.1,0.6698969234478596,0.7105240690653158,0.7025794935226322,0.7190040727740356
250,3,[10-10-3],0.01,0.6707480831765572,0.7422716455261139,0.7019270581983847,0.7360476597047004
250,3,[10-10-3],0.001,0.6706069951802591,0.7491485667850081,0.7019519612277064,0.7483640870053314
500,3,[10-10-3],0.1,0.6698969234478596,0.7569659155415123,0.7025794935226322,0.7813323291277807
500,3,[10-10-3],0.01,0.6707480831765572,0.7422716455261139,0.7019270581983847,0.7360476597047004
500,3,[10-10-3],0.001,0.6706059946605946,0.7491485667850081,0.7019519612277064,0.7483640870053314
1000,3,[10-10-3],0.1,0.6698969234478596,0.7909391512717157,0.7025794935226322,0.8136976627937689
1000,3,[10-10-3],0.01,0.6697114015726466,0.7422716455261139,0.7019270581983847,0.7360476597047004
1000,3,[10-10-3],0.001,0.6706059946605946,0.7491485667850081,0.7019519612277064,0.7483640870053314
250,6,[5-4-2-5-4-3],0.1,0.6779755127141546,0.7286299623422712,0.6108471192552847,0.7185213625900129
250,6,[5-4-2-5-4-3],0.01,0.6815961110951902,0.7469696959522293,0.6108930715944817,0.7390625985745783
250,6,[5-4-2-5-4-3],0.001,0.6928855526005224,0.7496838214798202,0.6470016258321883,0.7488410053957063
500,6,[5-4-2-5-4-3],0.1,0.6779755127141546,0.7358737002851257,0.6108471192552847,0.7339705572611722
500,6,[5-4-2-5-4-3],0.01,0.6787368650603203,0.7469696959522293,0.6108410199768292,0.7390625985745783
500,6,[5-4-2-5-4-3],0.001,0.6860871045099033,0.7496838214798202,0.6278884468602562,0.7488410053957063
1000,6,[5-4-2-5-4-3],0.1,0.6779755127141546,0.7417417507143826,0.6108471192552847,0.7410815523653493
1000,6,[5-4-2-5-4-3],0.01,0.6780381291651184,0.7469696959522293,0.6108410199768292,0.7390625985745783
1000,6,[5-4-2-5-4-3],0.001,0.6833629842968588,0.7496838214798202,0.6166449740602907,0.7488410053957063
